VCS WKID	Name	WKT	Area of Use	Minimum Latitude	Minimum Longitude	Maximum Latitude	Maximum Longitude
  5756	IGN_1987	VERTCS["IGN_1987",VDATUM["IGN_1987"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Martinique - onshore	  14.350	 -61.290	  14.930	 -60.760
  5757	IGN_1988	VERTCS["IGN_1988",VDATUM["IGN_1988"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Guadeloupe - Grande-Terre and Basse-Terre - onshore	  15.880	 -61.850	  16.550	 -61.150
  5616	IGN_1988_LS	VERTCS["IGN_1988_LS",VDATUM["IGN_1988_LS"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Guadeloupe - Les Saintes - onshore	  15.800	 -61.680	  15.940	 -61.520
  5617	IGN_1988_MG	VERTCS["IGN_1988_MG",VDATUM["IGN_1988_MG"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Guadeloupe - Marie-Galante - onshore	  15.800	 -61.390	  16.050	 -61.130
  5619	IGN_1988_SB	VERTCS["IGN_1988_SB",VDATUM["IGN_1988_SB"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Guadeloupe - St Barthelemy - onshore	  17.820	 -62.920	  17.980	 -62.730
  5620	IGN_1988_SM	VERTCS["IGN_1988_SM",VDATUM["IGN_1988_SM"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Guadeloupe - St Martin - onshore	  18.010	 -63.210	  18.170	 -62.960
  5758	IGN_1989	VERTCS["IGN_1989",VDATUM["IGN_1989"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Reunion - onshore	 -21.420	  55.160	 -20.810	  55.910
  5618	IGN_1992_LD	VERTCS["IGN_1992_LD",VDATUM["IGN_1992_LD"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Guadeloupe - La Desirade - onshore	  16.260	 -61.130	  16.380	 -60.970
115725	IGRS	VERTCS["IGRS",DATUM["D_Iraqi_Geospatial_Reference_System",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Iraq	  29.060	  38.790	  37.390	  48.750
  5193	Incheon_height	VERTCS["Incheon_height",VDATUM["Incheon"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Korea, Republic of (South Korea) - mainland	  33.960	 125.750	  38.640	 129.650
  5831	Instantaneous_Water_Level_Depth	VERTCS["Instantaneous_Water_Level_Depth",VDATUM["Sea_Level"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
  5829	Instantaneous_Water_Level_Height	VERTCS["Instantaneous_Water_Level_Height",VDATUM["Sea_Level"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
115726	IRENET95	VERTCS["IRENET95",DATUM["D_IRENET95",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Europe - Ireland (Republic and Ulster) - onshore	  51.390	 -10.560	  55.430	  -5.340
  5863	ISLW_Depth	VERTCS["ISLW_Depth",VDATUM["Indian_Spring_Low_Water"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
115727	ISN_1993	VERTCS["ISN_1993",DATUM["D_Islands_Network_1993",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Iceland	  59.960	 -30.870	  69.590	  -5.550
115728	ISN_2004	VERTCS["ISN_2004",DATUM["D_Islands_Network_2004",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Iceland	  59.960	 -30.870	  69.590	  -5.550
115729	ITRF_1988	VERTCS["ITRF_1988",DATUM["D_ITRF_1988",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
115730	ITRF_1989	VERTCS["ITRF_1989",DATUM["D_ITRF_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
115731	ITRF_1990	VERTCS["ITRF_1990",DATUM["D_ITRF_1990",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
115732	ITRF_1991	VERTCS["ITRF_1991",DATUM["D_ITRF_1991",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
115733	ITRF_1992	VERTCS["ITRF_1992",DATUM["D_ITRF_1992",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
115734	ITRF_1993	VERTCS["ITRF_1993",DATUM["D_ITRF_1993",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
115735	ITRF_1996	VERTCS["ITRF_1996",DATUM["D_ITRF_1996",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
115736	ITRF_1997	VERTCS["ITRF_1997",DATUM["D_ITRF_1997",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
115737	ITRF_2000	VERTCS["ITRF_2000",DATUM["D_ITRF_2000",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
115738	ITRF_2005	VERTCS["ITRF_2005",DATUM["D_ITRF_2005",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
115803	ITRF_2008	VERTCS["ITRF_2008",DATUM["D_ITRF_2008",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
115739	JAD_2001	VERTCS["JAD_2001",DATUM["D_Jamaica_2001",SPHEROID["WGS_1984",6378137.0,298.257223563]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Jamaica	  14.080	 -80.600	  19.360	 -74.510
  5723	Japanese_Standard_Levelling_Datum_1969	VERTCS["Japanese_Standard_Levelling_Datum_1969",VDATUM["Japanese_Standard_Levelling_Datum_1969"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Japan - onshore mainland	  30.940	 129.300	  45.540	 145.870
115740	JGD_2000	VERTCS["JGD_2000",DATUM["D_JGD_2000",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Japan	  17.090	 122.380	  46.050	 157.650
  6694	JGD2000_vertical_height	VERTCS["JGD2000_vertical_height",VDATUM["Japanese_Geodetic_Datum_2000_vertical"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Japan - onshore mainland	  30.940	 129.300	  45.540	 145.870
115741	JGD_2011	VERTCS["JGD_2011",DATUM["D_JGD_2011",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Japan	  17.090	 122.380	  46.050	 157.650
  6695	JGD2011_vertical_height	VERTCS["JGD2011_vertical_height",VDATUM["Japanese_Geodetic_Datum_2011_vertical"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Japan - onshore mainland	  30.940	 129.300	  45.540	 145.870
  6693	JSLD72_height	VERTCS["JSLD72_height",VDATUM["Japanese_Standard_Levelling_Datum_1972"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Japan - onshore - Hokkaido	  41.340	 139.700	  45.540	 145.870
  7652	Kiunga_(height)	VERTCS["Kiunga_(height)",VDATUM["Kiunga"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Papua New Guinea - onshore south of 5~S and west of 144~E	  -9.470	 140.850	  -5.000	 144.010
  5790	KOC_Construction_Datum	VERTCS["KOC_Construction_Datum",VDATUM["KOC_Construction_Datum"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Kuwait - onshore	  28.530	  46.540	  30.090	  48.480
  5614	KOC_WD_depth_ft	VERTCS["KOC_WD_depth_ft",VDATUM["KOC_Well_Datum"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Foot",0.3048]]	Kuwait - onshore	  28.530	  46.540	  30.090	  48.480
  5789	KOC_Well_Datum	VERTCS["KOC_Well_Datum",VDATUM["KOC_Well_Datum"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]]	Kuwait - onshore	  28.530	  46.540	  30.090	  48.480
115742	Korea_2000	VERTCS["Korea_2000",DATUM["D_Korea_2000",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Korea, Republic of (South Korea)	  28.600	 122.710	  40.270	 134.280
  7651	Kumul_34_(height)	VERTCS["Kumul_34_(height)",VDATUM["Kumul_34"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Papua New Guinea - PFTB	  -8.280	 142.240	  -5.590	 144.750
  5788	Kuwait_PWD	VERTCS["Kuwait_PWD",VDATUM["Kuwait_PWD"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Kuwait - onshore	  28.530	  46.540	  30.090	  48.480
  5796	Lagos_1955	VERTCS["Lagos_1955",VDATUM["Lagos_1955"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Nigeria - onshore	   4.220	   2.690	  13.900	  14.650
115743	Lao_1997	VERTCS["Lao_1997",DATUM["D_Lao_National_Datum_1997",SPHEROID["Krasovsky_1940",6378245.0,298.3]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Laos	  13.920	 100.090	  22.500	 107.700
  5861	LAT_Depth	VERTCS["LAT_Depth",VDATUM["Lowest_Astronomic_Tide"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
  7700	Latvia_2000_(height)	VERTCS["Latvia_2000_(height)",VDATUM["Latvian_Height_System_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Latvia - onshore	  55.670	  20.870	  58.090	  28.240
  6131	LCVD61_height	VERTCS["LCVD61_height",VDATUM["Little_Cayman_Vertical_Datum_1961"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Foot",0.3048]]	Cayman Islands - Little Cayman	  19.630	 -80.140	  19.740	 -79.930
  5742	Lerwick	VERTCS["Lerwick",VDATUM["Lerwick"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	UK - Shetland Islands onshore	  59.830	  -1.780	  60.870	  -0.670
115744	LGD2006	VERTCS["LGD2006",DATUM["D_Libyan_Geodetic_Datum_2006",SPHEROID["International_1924",6378388.0,297.0]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Libya	  19.500	   9.310	  35.230	  26.210
  5729	LHN95	VERTCS["LHN95",VDATUM["Landeshohennetz_1995"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Europe - Liechtenstein and Switzerland	  45.820	   5.960	  47.810	  10.490
115745	LKS_1992	VERTCS["LKS_1992",DATUM["D_Latvia_1992",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Latvia	  55.670	  19.060	  58.090	  28.240
115746	LKS_1994	VERTCS["LKS_1994",DATUM["D_Lithuania_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Lithuania	  53.890	  19.020	  56.450	  26.820
  5862	LLWLT_Depth	VERTCS["LLWLT_Depth",VDATUM["Lower_Low_Water_Large_Tide"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
  5728	LN_1902	VERTCS["LN_1902",VDATUM["Landesnivellement_1902"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Europe - Liechtenstein and Switzerland	  45.820	   5.960	  47.810	  10.490
  5873	Low_Water_Depth	VERTCS["Low_Water_Depth",VDATUM["Low_Water"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
  5763	Lyttleton	VERTCS["Lyttleton",VDATUM["Lyttleton"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	New Zealand - South Island - Lyttleton vcrs	 -44.920	 168.950	 -41.600	 173.770
115747	MACAO_2008	VERTCS["MACAO_2008",DATUM["D_MACAO_2008",SPHEROID["International_1924",6378388.0,297.0]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	China - Macao	  22.060	 113.520	  22.230	 113.680
115748	MAGNA	VERTCS["MAGNA",DATUM["D_MAGNA",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Colombia	  -4.230	 -84.770	  15.510	 -66.870
  5731	Malin_Head	VERTCS["Malin_Head",VDATUM["Malin_Head"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Europe - Ireland (Republic and Ulster) - onshore	  51.390	 -10.560	  55.430	  -5.340
  5722	Maputo	VERTCS["Maputo",VDATUM["Maputo"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Mozambique - onshore	 -26.870	  30.210	 -10.420	  40.900
115749	MARCARIO_SOLIS	VERTCS["MARCARIO_SOLIS",DATUM["D_SGNP_MARCARIO_SOLIS",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Panama	   5.000	 -84.320	  12.510	 -77.040
115750	MARGEN	VERTCS["MARGEN",DATUM["D_Marco_Geodesico_Nacional",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Bolivia	 -22.910	 -69.660	  -9.670	 -57.520
  5794	Martinique_1955	VERTCS["Martinique_1955",VDATUM["Martinique_1955"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Martinique - onshore	  14.350	 -61.290	  14.930	 -60.760
  5604	Maupiti_SAU_2001	VERTCS["Maupiti_SAU_2001",VDATUM["Maupiti_SAU_2001"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	French Polynesia - Society Islands - Maupiti	 -16.570	-152.390	 -16.340	-152.140
  5793	Mayotte_1950	VERTCS["Mayotte_1950",VDATUM["Mayotte_1950"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Mayotte - onshore	 -13.050	  44.980	 -12.610	  45.350
115751	Mexico_ITRF2008	VERTCS["Mexico_ITRF2008",DATUM["D_Mexico_ITRF2008",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Mexico	  12.100	-122.190	  32.720	 -84.640
  5869	MHHW_Height	VERTCS["MHHW_Height",VDATUM["Mean_Higher_High_Water"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
  5868	MHW_Height	VERTCS["MHW_Height",VDATUM["Mean_High_Water"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
  5870	MHWS_Height	VERTCS["MHWS_Height",VDATUM["Mean_High_Water_Spring_Tides"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
  5866	MLLW_Depth	VERTCS["MLLW_Depth",VDATUM["Mean_Lower_Low_Water"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
  5864	MLLWS_Depth	VERTCS["MLLWS_Depth",VDATUM["Mean_Lower_Low_Water_Spring_Tides"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
  5867	MLW_Depth	VERTCS["MLW_Depth",VDATUM["Mean_Low_Water"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
  5865	MLWS_Depth	VERTCS["MLWS_Depth",VDATUM["Mean_Low_Water_Spring_Tides"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
115752	MOLDREF99	VERTCS["MOLDREF99",DATUM["D_MOLDREF99",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Moldova	  45.440	  26.630	  48.470	  30.130
115753	MONREF_1997	VERTCS["MONREF_1997",DATUM["D_ITRF_2000",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Mongolia	  41.580	  87.760	  52.150	 119.940
  5602	Moorea_SAU_1981	VERTCS["Moorea_SAU_1981",VDATUM["Moorea_SAU_1981"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	French Polynesia - Society Islands - Moorea	 -17.630	-150.000	 -17.410	-149.730
  5764	Moturiki	VERTCS["Moturiki",VDATUM["Moturiki"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	New Zealand - North Island - Moturiki vcrs	 -40.590	 174.570	 -37.520	 177.260
115754	Moznet	VERTCS["Moznet",DATUM["D_Moznet",SPHEROID["WGS_1984",6378137.0,298.257223563]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Mozambique	 -27.710	  30.210	 -10.090	  43.030
  5715	MSL_Depth	VERTCS["MSL_Depth",VDATUM["Mean_Sea_Level"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
  5714	MSL_Height	VERTCS["MSL_Height",VDATUM["Mean_Sea_Level"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
  3900	N2000_height	VERTCS["N2000_height",VDATUM["N2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Finland - onshore	  59.750	  19.240	  70.090	  31.590
  5717	N60	VERTCS["N60",VDATUM["Helsinki_1960"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Finland - onshore	  59.750	  19.240	  70.090	  31.590
115702	NAD_1983	VERTCS["NAD_1983",DATUM["D_North_American_1983",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	North America - NAD83	  14.920	 167.650	  86.460	 -47.740
115755	NAD_1983_2011	VERTCS["NAD_1983_2011",DATUM["D_NAD_1983_2011",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	USA - CONUS and Alaska; PRVI	  14.920	 167.650	  74.710	 -63.880
115756	NAD_1983_CORS96	VERTCS["NAD_1983_CORS96",DATUM["D_NAD_1983_CORS96",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	USA - CONUS and Alaska; PRVI	  14.920	 167.650	  74.710	 -63.880
115759	NAD_1983_MA11	VERTCS["NAD_1983_MA11",DATUM["D_NAD_1983_MA11",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Pacific - US interests Mariana plate	   1.640	 129.480	  23.900	 149.550
115760	NAD_1983_MARP00	VERTCS["NAD_1983_MARP00",DATUM["D_NAD_1983_MARP00",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Pacific - US interests Mariana plate	   1.640	 129.480	  23.900	 149.550
115761	NAD_1983_NSRS2007	VERTCS["NAD_1983_NSRS2007",DATUM["D_NAD_1983_NSRS2007",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	USA - CONUS and Alaska; PRVI	  14.920	 167.650	  74.710	 -63.880
115762	NAD_1983_PA11	VERTCS["NAD_1983_PA11",DATUM["D_NAD_1983_PA11",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Pacific - US interests Pacific plate	 -17.560	 157.470	  31.800	-151.270
115763	NAD_1983_PACP00	VERTCS["NAD_1983_PACP00",DATUM["D_NAD_1983_PACP00",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Pacific - US interests Pacific plate	 -17.560	 157.470	  31.800	-151.270
  5709	NAP	VERTCS["NAP",VDATUM["Normaal_Amsterdams_Peil"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Netherlands - onshore	  50.750	   3.200	  53.700	   7.220
  5765	Napier	VERTCS["Napier",VDATUM["Napier"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	New Zealand - North Island - Hawkes Bay mc Napier vcrs	 -40.570	 175.800	 -38.870	 178.070
  5703	NAVD_1988	VERTCS["NAVD_1988",VDATUM["North_American_Vertical_Datum_1988"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	USA - CONUS and Alaska - onshore	  24.410	-168.260	  71.400	 -66.910
105703	NAVD_1988_Foot_US	VERTCS["NAVD_1988_Foot_US",VDATUM["North_American_Vertical_Datum_1988"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Foot_US",0.3048006096012192]]	USA - CONUS and Alaska - onshore	  24.410	-168.260	  71.400	 -66.910
  6357	NAVD88_depth	VERTCS["NAVD88_depth",VDATUM["North_American_Vertical_Datum_1988"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]]	North America - Mexico and USA - onshore	  14.510	-168.260	  71.400	 -66.910
  6358	NAVD88_depth_(ftUS)	VERTCS["NAVD88_depth_(ftUS)",VDATUM["North_American_Vertical_Datum_1988"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Foot_US",0.3048006096012192]]	USA - CONUS and Alaska - onshore	  24.410	-168.260	  71.400	 -66.910
  6360	NAVD88_height_(ftUS)	VERTCS["NAVD88_height_(ftUS)",VDATUM["North_American_Vertical_Datum_1988"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Foot_US",0.3048006096012192]]	USA - CONUS and Alaska - onshore	  24.410	-168.260	  71.400	 -66.910
  5766	Nelson	VERTCS["Nelson",VDATUM["Nelson"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	New Zealand - South Island - Nelson vcrs	 -42.440	 171.820	 -40.440	 174.460
115764	Nepal_Nagarkot	VERTCS["Nepal_Nagarkot",DATUM["D_Nepal_Nagarkot",SPHEROID["Everest_Adjustment_1937",6377276.345,300.8017]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Nepal	  26.360	  80.050	  30.430	  88.200
  5701	Newlyn	VERTCS["Newlyn",VDATUM["Ordnance_Datum_Newlyn"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	UK - Great Britain mainland onshore	  49.930	  -7.060	  58.710	   1.800
  5740	Newlyn_Orkney_Isles	VERTCS["Newlyn_Orkney_Isles",VDATUM["Ordnance_Datum_Newlyn_Orkney_Isles"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	UK - Orkney Islands onshore	  58.720	  -3.480	  59.410	  -2.340
  5791	NGC_1948	VERTCS["NGC_1948",VDATUM["Nivellement_General_de_la_Corse_1948"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	France - Corsica onshore	  41.310	   8.500	  43.070	   9.630
