GCS WKID	Name	WKT	Accuracy (m)	Area of Use	Minimum Latitude	Minimum Longitude	Maximum Latitude	Maximum Longitude
108120	Datum_73_To_WGS_1984_2	GEOGTRAN["Datum_73_To_WGS_1984_2",GEOGCS["GCS_Datum_73",DATUM["D_Datum_73",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Coordinate_Frame"],PARAMETER["X_Axis_Translation",-239.749],PARAMETER["Y_Axis_Translation",88.181],PARAMETER["Z_Axis_Translation",30.488],PARAMETER["X_Axis_Rotation",-0.26],PARAMETER["Y_Axis_Rotation",-0.08],PARAMETER["Z_Axis_Rotation",-1.21],PARAMETER["Scale_Difference",2.23]]	  1.000	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
108155	Datum_73_To_WGS_1984_2009_3par	GEOGTRAN["Datum_73_To_WGS_1984_2009_3par",GEOGCS["GCS_Datum_73",DATUM["D_Datum_73",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-223.15],PARAMETER["Y_Axis_Translation",110.132],PARAMETER["Z_Axis_Translation",36.711]]	  0.900	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
108153	Datum_73_To_WGS_1984_2009_7par	GEOGTRAN["Datum_73_To_WGS_1984_2009_7par",GEOGCS["GCS_Datum_73",DATUM["D_Datum_73",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Position_Vector"],PARAMETER["X_Axis_Translation",-230.994],PARAMETER["Y_Axis_Translation",102.591],PARAMETER["Z_Axis_Translation",25.199],PARAMETER["X_Axis_Rotation",0.633],PARAMETER["Y_Axis_Rotation",-0.239],PARAMETER["Z_Axis_Rotation",0.9],PARAMETER["Scale_Difference",1.95]]	  0.400	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
  1983	Datum_73_To_WGS_1984_3	GEOGTRAN["Datum_73_To_WGS_1984_3",GEOGCS["GCS_Datum_73",DATUM["D_Datum_73",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-223.237],PARAMETER["Y_Axis_Translation",110.193],PARAMETER["Z_Axis_Translation",36.649]]	  5.000	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
  1987	Datum_73_To_WGS_1984_4	GEOGTRAN["Datum_73_To_WGS_1984_4",GEOGCS["GCS_Datum_73",DATUM["D_Datum_73",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Coordinate_Frame"],PARAMETER["X_Axis_Translation",-239.749],PARAMETER["Y_Axis_Translation",88.181],PARAMETER["Z_Axis_Translation",30.488],PARAMETER["X_Axis_Rotation",-0.263],PARAMETER["Y_Axis_Rotation",-0.082],PARAMETER["Z_Axis_Rotation",-1.211],PARAMETER["Scale_Difference",2.229]]	  1.000	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
108025	Datum_73_To_WGS_1984_NTv2	GEOGTRAN["Datum_73_To_WGS_1984_NTv2",GEOGCS["GCS_Datum_73",DATUM["D_Datum_73",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["NTv2"],PARAMETER["Dataset_portugal/D73_ETRS89_geo",0.0]]	  0.100	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
108113	Datum_Lisboa_Bessel_To_WGS_1984_1	GEOGTRAN["Datum_Lisboa_Bessel_To_WGS_1984_1",GEOGCS["GCS_Datum_Lisboa_Bessel",DATUM["D_Datum_Lisboa_Bessel",SPHEROID["Bessel_1841",6377397.155,299.1528128]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",508.088],PARAMETER["Y_Axis_Translation",-191.042],PARAMETER["Z_Axis_Translation",565.223]]	  5.000	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
108123	Datum_Lisboa_Bessel_To_WGS_1984_2	GEOGTRAN["Datum_Lisboa_Bessel_To_WGS_1984_2",GEOGCS["GCS_Datum_Lisboa_Bessel",DATUM["D_Datum_Lisboa_Bessel",SPHEROID["Bessel_1841",6377397.155,299.1528128]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Coordinate_Frame"],PARAMETER["X_Axis_Translation",631.392],PARAMETER["Y_Axis_Translation",-66.551],PARAMETER["Z_Axis_Translation",481.442],PARAMETER["X_Axis_Rotation",-1.09],PARAMETER["Y_Axis_Rotation",4.445],PARAMETER["Z_Axis_Rotation",4.487],PARAMETER["Scale_Difference",-4.43]]	  1.000	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
108222	Datum_Lisboa_Hayford_To_Datum_73_1	GEOGTRAN["Datum_Lisboa_Hayford_To_Datum_73_1",GEOGCS["GCS_Datum_Lisboa_Hayford",DATUM["D_Datum_Lisboa_Hayford",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_Datum_73",DATUM["D_Datum_73",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-80.809],PARAMETER["Y_Axis_Translation",-170.77],PARAMETER["Z_Axis_Translation",66.991]]	  5.000	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
108223	Datum_Lisboa_Hayford_To_Datum_73_2	GEOGTRAN["Datum_Lisboa_Hayford_To_Datum_73_2",GEOGCS["GCS_Datum_Lisboa_Hayford",DATUM["D_Datum_Lisboa_Hayford",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_Datum_73",DATUM["D_Datum_73",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Coordinate_Frame"],PARAMETER["X_Axis_Translation",-49.137],PARAMETER["Y_Axis_Translation",-179.924],PARAMETER["Z_Axis_Translation",95.757],PARAMETER["X_Axis_Rotation",1.955],PARAMETER["Y_Axis_Rotation",-0.328],PARAMETER["Z_Axis_Rotation",1.423],PARAMETER["Scale_Difference",-6.827]]	  5.000	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
108224	Datum_Lisboa_Hayford_To_Datum_Lisboa_Bessel_1	GEOGTRAN["Datum_Lisboa_Hayford_To_Datum_Lisboa_Bessel_1",GEOGCS["GCS_Datum_Lisboa_Hayford",DATUM["D_Datum_Lisboa_Hayford",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_Datum_Lisboa_Bessel",DATUM["D_Datum_Lisboa_Bessel",SPHEROID["Bessel_1841",6377397.155,299.1528128]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-812.134],PARAMETER["Y_Axis_Translation",130.465],PARAMETER["Z_Axis_Translation",-461.583]]	  5.000	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
108225	Datum_Lisboa_Hayford_To_Datum_Lisboa_Bessel_2	GEOGTRAN["Datum_Lisboa_Hayford_To_Datum_Lisboa_Bessel_2",GEOGCS["GCS_Datum_Lisboa_Hayford",DATUM["D_Datum_Lisboa_Hayford",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_Datum_Lisboa_Bessel",DATUM["D_Datum_Lisboa_Bessel",SPHEROID["Bessel_1841",6377397.155,299.1528128]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Coordinate_Frame"],PARAMETER["X_Axis_Translation",-920.281],PARAMETER["Y_Axis_Translation",-25.191],PARAMETER["Z_Axis_Translation",-355.2],PARAMETER["X_Axis_Rotation",2.781],PARAMETER["Y_Axis_Rotation",-4.855],PARAMETER["Z_Axis_Rotation",-4.276],PARAMETER["Scale_Difference",-0.168]]	  5.000	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
108158	Datum_Lisboa_Hayford_To_ETRS_1989_2009_3par	GEOGTRAN["Datum_Lisboa_Hayford_To_ETRS_1989_2009_3par",GEOGCS["GCS_Datum_Lisboa_Hayford",DATUM["D_Datum_Lisboa_Hayford",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-303.861],PARAMETER["Y_Axis_Translation",-60.693],PARAMETER["Z_Axis_Translation",103.607]]	  1.700	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
108156	Datum_Lisboa_Hayford_To_ETRS_1989_2009_7par	GEOGTRAN["Datum_Lisboa_Hayford_To_ETRS_1989_2009_7par",GEOGCS["GCS_Datum_Lisboa_Hayford",DATUM["D_Datum_Lisboa_Hayford",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Position_Vector"],PARAMETER["X_Axis_Translation",-283.088],PARAMETER["Y_Axis_Translation",-70.693],PARAMETER["Z_Axis_Translation",117.445],PARAMETER["X_Axis_Rotation",-1.157],PARAMETER["Y_Axis_Rotation",0.059],PARAMETER["Z_Axis_Rotation",-0.652],PARAMETER["Scale_Difference",-4.058]]	  1.500	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
108024	Datum_Lisboa_Hayford_To_ETRS_1989_NTv2	GEOGTRAN["Datum_Lisboa_Hayford_To_ETRS_1989_NTv2",GEOGCS["GCS_Datum_Lisboa_Hayford",DATUM["D_Datum_Lisboa_Hayford",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["NTv2"],PARAMETER["Dataset_portugal/DLX_ETRS89_geo",0.0]]	  0.100	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
108114	Datum_Lisboa_Hayford_To_WGS_1984_1	GEOGTRAN["Datum_Lisboa_Hayford_To_WGS_1984_1",GEOGCS["GCS_Datum_Lisboa_Hayford",DATUM["D_Datum_Lisboa_Hayford",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-304.046],PARAMETER["Y_Axis_Translation",-60.576],PARAMETER["Z_Axis_Translation",103.64]]	  5.000	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
108124	Datum_Lisboa_Hayford_To_WGS_1984_2	GEOGTRAN["Datum_Lisboa_Hayford_To_WGS_1984_2",GEOGCS["GCS_Datum_Lisboa_Hayford",DATUM["D_Datum_Lisboa_Hayford",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Coordinate_Frame"],PARAMETER["X_Axis_Translation",-288.885],PARAMETER["Y_Axis_Translation",-91.744],PARAMETER["Z_Axis_Translation",126.244],PARAMETER["X_Axis_Rotation",1.69],PARAMETER["Y_Axis_Rotation",-0.41],PARAMETER["Z_Axis_Rotation",0.21],PARAMETER["Scale_Difference",-4.6]]	  2.000	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
108159	Datum_Lisboa_Hayford_To_WGS_1984_2009_3par	GEOGTRAN["Datum_Lisboa_Hayford_To_WGS_1984_2009_3par",GEOGCS["GCS_Datum_Lisboa_Hayford",DATUM["D_Datum_Lisboa_Hayford",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-303.861],PARAMETER["Y_Axis_Translation",-60.693],PARAMETER["Z_Axis_Translation",103.607]]	  1.700	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
108157	Datum_Lisboa_Hayford_To_WGS_1984_2009_7par	GEOGTRAN["Datum_Lisboa_Hayford_To_WGS_1984_2009_7par",GEOGCS["GCS_Datum_Lisboa_Hayford",DATUM["D_Datum_Lisboa_Hayford",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Position_Vector"],PARAMETER["X_Axis_Translation",-283.088],PARAMETER["Y_Axis_Translation",-70.693],PARAMETER["Z_Axis_Translation",117.445],PARAMETER["X_Axis_Rotation",-1.157],PARAMETER["Y_Axis_Rotation",0.059],PARAMETER["Z_Axis_Rotation",-0.652],PARAMETER["Scale_Difference",-4.058]]	  1.500	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
108023	Datum_Lisboa_Hayford_To_WGS_1984_NTv2	GEOGTRAN["Datum_Lisboa_Hayford_To_WGS_1984_NTv2",GEOGCS["GCS_Datum_Lisboa_Hayford",DATUM["D_Datum_Lisboa_Hayford",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["NTv2"],PARAMETER["Dataset_portugal/DLX_ETRS89_geo",0.0]]	  0.100	Portugal - mainland - onshore	36.9500	 -9.5600	42.1600	 -6.1900
  5826	DB_REF_To_ETRS_1989_1	GEOGTRAN["DB_REF_To_ETRS_1989_1",GEOGCS["GCS_DB_REF",DATUM["D_Deutsche_Bahn_Reference_System",SPHEROID["Bessel_1841",6377397.155,299.1528128]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Coordinate_Frame"],PARAMETER["X_Axis_Translation",584.9636],PARAMETER["Y_Axis_Translation",107.7175],PARAMETER["Z_Axis_Translation",413.8067],PARAMETER["X_Axis_Rotation",-1.1155214628],PARAMETER["Y_Axis_Rotation",-0.282433989],PARAMETER["Z_Axis_Rotation",3.1384490633],PARAMETER["Scale_Difference",7.992235]]	  0.500	Germany - onshore	47.2700	  5.8600	55.0900	 15.0400
  1995	Dealul_Piscului_1933_To_WGS_1984_1	GEOGTRAN["Dealul_Piscului_1933_To_WGS_1984_1",GEOGCS["GCS_Dealul_Piscului_1933",DATUM["D_Dealul_Piscului_1933",SPHEROID["International_1924",6378388.0,297.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",103.25],PARAMETER["Y_Axis_Translation",-100.4],PARAMETER["Z_Axis_Translation",-307.19]]	 10.000	Romania - onshore	43.6200	 20.2600	48.2700	 29.7400
108375	Dealul_Piscului_1970_To_ETRS_1989_1X	GEOGTRAN["Dealul_Piscului_1970_To_ETRS_1989_1X",GEOGCS["GCS_Dealul_Piscului_1970",DATUM["D_Dealul_Piscului_1970",SPHEROID["Krasovsky_1940",6378245.0,298.3]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Coordinate_Frame"],PARAMETER["X_Axis_Translation",2.3287],PARAMETER["Y_Axis_Translation",-147.0425],PARAMETER["Z_Axis_Translation",-92.0802],PARAMETER["X_Axis_Rotation",0.3092483],PARAMETER["Y_Axis_Rotation",-0.32482185],PARAMETER["Z_Axis_Rotation",-0.49729934],PARAMETER["Scale_Difference",5.68906266]]	  3.000	Romania	43.4400	 20.2600	48.2700	 31.4100
  1996	Dealul_Piscului_1970_To_WGS_1984_1	GEOGTRAN["Dealul_Piscului_1970_To_WGS_1984_1",GEOGCS["GCS_Dealul_Piscului_1970",DATUM["D_Dealul_Piscului_1970",SPHEROID["Krasovsky_1940",6378245.0,298.3]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",44.107],PARAMETER["Y_Axis_Translation",-116.147],PARAMETER["Z_Axis_Translation",-54.648]]	 10.000	Romania	43.4400	 20.2600	48.2700	 31.4100
  1097	Dealul_Piscului_1970_To_WGS_1984_2	GEOGTRAN["Dealul_Piscului_1970_To_WGS_1984_2",GEOGCS["GCS_Dealul_Piscului_1970",DATUM["D_Dealul_Piscului_1970",SPHEROID["Krasovsky_1940",6378245.0,298.3]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",28.0],PARAMETER["Y_Axis_Translation",-121.0],PARAMETER["Z_Axis_Translation",-77.0]]	  7.000	Romania	43.4400	 20.2600	48.2700	 31.4100
108374	Dealul_Piscului_1970_To_WGS_1984_3X	GEOGTRAN["Dealul_Piscului_1970_To_WGS_1984_3X",GEOGCS["GCS_Dealul_Piscului_1970",DATUM["D_Dealul_Piscului_1970",SPHEROID["Krasovsky_1940",6378245.0,298.3]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Coordinate_Frame"],PARAMETER["X_Axis_Translation",2.3287],PARAMETER["Y_Axis_Translation",-147.0425],PARAMETER["Z_Axis_Translation",-92.0802],PARAMETER["X_Axis_Rotation",0.3092483],PARAMETER["Y_Axis_Rotation",-0.32482185],PARAMETER["Z_Axis_Rotation",-0.49729934],PARAMETER["Scale_Difference",5.68906266]]	  3.000	Romania	43.4400	 20.2600	48.2700	 31.4100
 15812	Deception_Island_To_WGS_1984	GEOGTRAN["Deception_Island_To_WGS_1984",GEOGCS["GCS_Deception_Island",DATUM["D_Deception_Island",SPHEROID["Clarke_1880_RGS",6378249.145,293.465]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",260.0],PARAMETER["Y_Axis_Translation",12.0],PARAMETER["Z_Axis_Translation",-147.0]]	 35.000	Antarctica - Deception Island	-63.0800	-60.8900	-62.8200	-60.3500
  1584	Deir_ez_Zor_To_WGS_1972_BE	GEOGTRAN["Deir_ez_Zor_To_WGS_1972_BE",GEOGCS["GCS_Deir_ez_Zor",DATUM["D_Deir_ez_Zor",SPHEROID["Clarke_1880_IGN",6378249.2,293.4660212936265]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1972_BE",DATUM["D_WGS_1972_BE",SPHEROID["WGS_1972",6378135.0,298.26]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-174.6],PARAMETER["Y_Axis_Translation",-3.1],PARAMETER["Z_Axis_Translation",236.2]]	  5.000	Syria - Deir area	34.4900	 39.3000	35.9000	 40.8100
 15741	Deir_ez_Zor_To_WGS_1984_2	GEOGTRAN["Deir_ez_Zor_To_WGS_1984_2",GEOGCS["GCS_Deir_ez_Zor",DATUM["D_Deir_ez_Zor",SPHEROID["Clarke_1880_IGN",6378249.2,293.4660212936265]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-187.5],PARAMETER["Y_Axis_Translation",14.1],PARAMETER["Z_Axis_Translation",237.6]]	  5.000	Syria - Deir area	34.4900	 39.3000	35.9000	 40.8100
  1586	Deir_ez_Zor_To_WGS_1984_3	GEOGTRAN["Deir_ez_Zor_To_WGS_1984_3",GEOGCS["GCS_Deir_ez_Zor",DATUM["D_Deir_ez_Zor",SPHEROID["Clarke_1880_IGN",6378249.2,293.4660212936265]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Position_Vector"],PARAMETER["X_Axis_Translation",-175.09],PARAMETER["Y_Axis_Translation",1.218],PARAMETER["Z_Axis_Translation",238.831],PARAMETER["X_Axis_Rotation",-0.047],PARAMETER["Y_Axis_Rotation",0.019],PARAMETER["Z_Axis_Rotation",0.808],PARAMETER["Scale_Difference",0.1698]]	999.000	Syria - Al Whaleed area	35.3300	 39.1500	35.9000	 40.4100
  1587	Deir_ez_Zor_To_WGS_1984_4	GEOGTRAN["Deir_ez_Zor_To_WGS_1984_4",GEOGCS["GCS_Deir_ez_Zor",DATUM["D_Deir_ez_Zor",SPHEROID["Clarke_1880_IGN",6378249.2,293.4660212936265]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-191.77],PARAMETER["Y_Axis_Translation",15.01],PARAMETER["Z_Axis_Translation",235.07]]	  1.000	Syria - Shaddadeh area	35.7900	 40.5000	36.5000	 41.3900
 15742	Deir_ez_Zor_To_WGS_1984_5	GEOGTRAN["Deir_ez_Zor_To_WGS_1984_5",GEOGCS["GCS_Deir_ez_Zor",DATUM["D_Deir_ez_Zor",SPHEROID["Clarke_1880_IGN",6378249.2,293.4660212936265]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-190.421],PARAMETER["Y_Axis_Translation",8.532],PARAMETER["Z_Axis_Translation",238.69]]	  5.000	Syria - onshore	32.3100	 35.6100	37.3000	 42.3800
 15743	Deir_ez_Zor_To_WGS_1984_6	GEOGTRAN["Deir_ez_Zor_To_WGS_1984_6",GEOGCS["GCS_Deir_ez_Zor",DATUM["D_Deir_ez_Zor",SPHEROID["Clarke_1880_IGN",6378249.2,293.4660212936265]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Position_Vector"],PARAMETER["X_Axis_Translation",-83.58],PARAMETER["Y_Axis_Translation",-397.54],PARAMETER["Z_Axis_Translation",458.78],PARAMETER["X_Axis_Rotation",-17.595],PARAMETER["Y_Axis_Rotation",-2.847],PARAMETER["Z_Axis_Rotation",4.256],PARAMETER["Scale_Difference",3.225]]	  0.500	Syria - Deir area	34.4900	 39.3000	35.9000	 40.8100
